Id,Time,Machine,Component,Parameter,Value,Threshold,Probability of Failure
6,26-05-2024 15:48,Backhoe_Loader_1,Engine,Oil Pressure,51,Medium,High
6,23-06-2024 17:33,Backhoe_Loader_1,Drive,Transmission Pressure,376,Medium,Medium
6,27-05-2024 23:46,Dozer_1,Drive,Transmission Pressure,222,Medium,Medium
6,28-06-2024 23:55,Asphalt_Paver_1,Drive,Transmission Pressure,332,Medium,Medium
6,29-06-2024 02:58,Articulated_Truck_1,Drive,Transmission Pressure,375,Medium,Medium
6,06-05-2024 05:00,Excavator_1,Drive,Transmission Pressure,255,Medium,Medium
7,16-05-2024 07:59,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,113,Medium,Medium
7,16-06-2024 20:11,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,83,Medium,Medium
7,29-06-2024 21:21,Articulated_Truck_1,Misc,Hydraulic Pump Rate,118,Medium,Medium
7,14-05-2024 13:26,Excavator_1,Misc,Hydraulic Pump Rate,92,Medium,Medium
7,19-06-2024 05:59,Dozer_1,Misc,Hydraulic Pump Rate,119,Medium,Medium
7,22-05-2024 15:47,Backhoe_Loader_1,Drive,Pedal Sensor,3.807598708,Medium,Low
7,09-05-2024 12:13,Dozer_1,Drive,Pedal Sensor,3.632488491,Medium,Low
7,05-05-2024 13:18,Excavator_1,Drive,Pedal Sensor,3.272352887,Medium,Low
7,24-06-2024 03:34,Asphalt_Paver_1,Drive,Pedal Sensor,3.12,Medium,Low
7,03-06-2024 19:01,Articulated_Truck_1,Drive,Pedal Sensor,3.9,Medium,Low
7,30-05-2024 18:55,Asphalt_Paver_1,Engine,Temparature,87,Medium,High
7,28-05-2024 23:52,Articulated_Truck_1,Engine,Temparature,80,Medium,High
7,12-05-2024 08:33,Dozer_1,Engine,Temparature,91,Medium,High
7,26-06-2024 19:35,Excavator_1,Engine,Temparature,91,Medium,High
7,19-05-2024 07:14,Backhoe_Loader_1,Engine,Temparature,97,Medium,High
7,19-05-2024 10:03,Dozer_1,Fuel,Temparature,258,Medium,High
7,27-06-2024 21:18,Backhoe_Loader_1,Fuel,Temparature,225,Medium,High
7,13-05-2024 22:39,Excavator_1,Fuel,Temparature,287,Medium,High
7,09-05-2024 03:18,Asphalt_Paver_1,Fuel,Temparature,398,Medium,High
7,02-05-2024 15:33,Articulated_Truck_1,Fuel,Temparature,0,Medium,High
8,18-05-2024 16:12,Backhoe_Loader_1,Misc,Air Filter Pressure,27,Medium,Medium
8,05-05-2024 11:01,Dozer_1,Misc,Air Filter Pressure,21,Medium,Medium
8,03-06-2024 00:36,Articulated_Truck_1,Misc,Air Filter Pressure,23,Medium,Medium
8,21-05-2024 07:16,Asphalt_Paver_1,Misc,Air Filter Pressure,25,Medium,Medium
8,29-05-2024 19:50,Excavator_1,Misc,Air Filter Pressure,27,Medium,Medium
8,22-06-2024 15:54,Asphalt_Paver_1,Drive,Brake Control,10,Medium,Medium
8,18-06-2024 14:11,Dozer_1,Drive,Brake Control,8,Medium,Medium
8,20-06-2024 01:28,Excavator_1,Drive,Brake Control,8,Medium,Medium
8,16-05-2024 09:07,Articulated_Truck_1,Drive,Brake Control,8,Medium,Medium
8,04-06-2024 22:55,Backhoe_Loader_1,Drive,Brake Control,3,Medium,Medium
8,21-05-2024 21:04,Dozer_1,Fuel,Pressure,48,Medium,Low
8,26-06-2024 11:53,Backhoe_Loader_1,Fuel,Pressure,59,Medium,Low
8,15-05-2024 15:03,Asphalt_Paver_1,Fuel,Pressure,60,Medium,Low
8,09-06-2024 14:12,Articulated_Truck_1,Fuel,Pressure,46,Medium,Low
8,07-05-2024 00:43,Excavator_1,Fuel,Pressure,36,Medium,Low
8,09-05-2024 12:13,Dozer_1,Engine,Speed,1357,Medium,Medium
8,01-05-2024 19:51,Articulated_Truck_1,Engine,Speed,1600,Medium,Medium
8,03-05-2024 22:17,Asphalt_Paver_1,Engine,Speed,1391,Medium,Medium
8,09-05-2024 12:19,Excavator_1,Engine,Speed,1573,Medium,Medium
8,02-06-2024 17:20,Backhoe_Loader_1,Engine,Speed,1429,Medium,Medium
9,03-05-2024 12:48,Dozer_1,Drive,Brake Control,5,Medium,Medium
9,12-05-2024 07:33,Asphalt_Paver_1,Drive,Brake Control,5,Medium,Medium
9,16-06-2024 18:04,Articulated_Truck_1,Drive,Brake Control,3,Medium,Medium
9,02-05-2024 13:13,Backhoe_Loader_1,Drive,Brake Control,6,Medium,Medium
9,19-05-2024 16:41,Excavator_1,Drive,Brake Control,7,Medium,Medium
9,30-05-2024 06:17,Asphalt_Paver_1,Engine,Oil Pressure,61,Medium,High
9,20-05-2024 11:47,Backhoe_Loader_1,Engine,Oil Pressure,49,Medium,High
9,11-05-2024 08:31,Excavator_1,Engine,Oil Pressure,60,Medium,High
9,30-05-2024 14:08,Dozer_1,Engine,Oil Pressure,25,Low,High
9,18-06-2024 10:48,Articulated_Truck_1,Engine,Oil Pressure,64,Medium,High
9,18-05-2024 15:57,Asphalt_Paver_1,Misc,System Voltage,13.01,Medium,High
9,16-05-2024 22:24,Articulated_Truck_1,Misc,System Voltage,12.7,Medium,High
9,05-06-2024 05:05,Dozer_1,Misc,System Voltage,14.37954839,Medium,High
9,24-06-2024 20:26,Excavator_1,Misc,System Voltage,12.71409262,Medium,High
9,26-05-2024 20:01,Backhoe_Loader_1,Misc,System Voltage,13.52453023,Medium,High
9,20-05-2024 12:23,Backhoe_Loader_1,Fuel,Water in Fuel,1697,Medium,High
9,10-05-2024 09:05,Dozer_1,Fuel,Water in Fuel,1315,Medium,High
9,18-05-2024 21:05,Excavator_1,Fuel,Water in Fuel,422,Medium,High
9,21-05-2024 11:04,Asphalt_Paver_1,Fuel,Water in Fuel,887,Medium,High
9,26-05-2024 18:34,Articulated_Truck_1,Fuel,Water in Fuel,73,Medium,High
10,27-05-2024 18:48,Backhoe_Loader_1,Drive,Brake Control,9,Medium,Medium
10,13-05-2024 18:58,Articulated_Truck_1,Drive,Brake Control,7,Medium,Medium
10,07-06-2024 11:45,Excavator_1,Drive,Brake Control,10,Medium,Medium
10,10-05-2024 19:19,Dozer_1,Drive,Brake Control,2,Medium,Medium
10,14-05-2024 12:07,Asphalt_Paver_1,Drive,Brake Control,7,Medium,Medium
10,05-05-2024 21:47,Dozer_1,Misc,Exhaust Gas Temparature,347,Medium,High
10,17-06-2024 04:21,Articulated_Truck_1,Misc,Exhaust Gas Temparature,222,Medium,High
10,27-05-2024 15:05,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,354,Medium,High
10,01-06-2024 05:43,Excavator_1,Misc,Exhaust Gas Temparature,359,Medium,High
10,19-06-2024 02:42,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,338,Medium,High
10,24-06-2024 09:38,Articulated_Truck_1,Fuel,Level,9,Medium,Low
10,01-05-2024 20:42,Backhoe_Loader_1,Fuel,Level,8,Medium,Low
10,11-06-2024 04:01,Asphalt_Paver_1,Fuel,Level,6,Medium,Low
10,05-05-2024 15:16,Dozer_1,Fuel,Level,3,Medium,Low
10,25-05-2024 08:33,Excavator_1,Fuel,Level,7,Medium,Low
10,25-05-2024 13:26,Asphalt_Paver_1,Engine,Speed,1331,Medium,Medium
10,06-06-2024 17:21,Dozer_1,Engine,Speed,1581,Medium,Medium
10,09-05-2024 09:14,Articulated_Truck_1,Engine,Speed,1800,High,Medium
10,17-06-2024 21:14,Backhoe_Loader_1,Engine,Speed,1521,Medium,Medium
10,19-06-2024 18:36,Excavator_1,Engine,Speed,1760,Medium,Medium
11,04-05-2024 23:13,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,99,Medium,Medium
11,29-05-2024 10:17,Dozer_1,Misc,Hydraulic Pump Rate,120,Medium,Medium
11,19-05-2024 07:13,Excavator_1,Misc,Hydraulic Pump Rate,105,Medium,Medium
11,06-05-2024 16:01,Articulated_Truck_1,Misc,Hydraulic Pump Rate,110,Medium,Medium
11,16-06-2024 21:07,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,88,Medium,Medium
11,21-06-2024 18:05,Articulated_Truck_1,Engine,Oil Pressure,72,High,High
11,04-05-2024 08:34,Excavator_1,Engine,Oil Pressure,42,Medium,High
11,27-05-2024 12:21,Asphalt_Paver_1,Engine,Oil Pressure,56,Medium,High
11,22-05-2024 01:06,Dozer_1,Engine,Oil Pressure,28,Medium,High
11,20-06-2024 09:55,Backhoe_Loader_1,Engine,Oil Pressure,47,Medium,High
11,22-06-2024 14:49,Asphalt_Paver_1,Drive,Transmission Pressure,437,Medium,Medium
11,06-05-2024 07:56,Dozer_1,Drive,Transmission Pressure,394,Medium,Medium
11,07-05-2024 00:00,Articulated_Truck_1,Drive,Transmission Pressure,275,Medium,Medium
11,06-05-2024 20:00,Excavator_1,Drive,Transmission Pressure,443,Medium,Medium
11,07-05-2024 18:50,Backhoe_Loader_1,Drive,Transmission Pressure,385,Medium,Medium
11,26-06-2024 04:18,Excavator_1,Fuel,Temparature,389,Medium,High
11,25-06-2024 12:15,Backhoe_Loader_1,Fuel,Temparature,224,Medium,High
11,14-05-2024 17:05,Asphalt_Paver_1,Fuel,Temparature,272,Medium,High
11,28-06-2024 19:18,Articulated_Truck_1,Fuel,Temparature,0,Medium,High
11,10-06-2024 14:57,Dozer_1,Fuel,Temparature,247,Medium,High
12,24-06-2024 01:28,Excavator_1,Misc,Air Filter Pressure,22,Medium,Medium
12,25-06-2024 08:18,Articulated_Truck_1,Misc,Air Filter Pressure,25,Medium,Medium
12,02-06-2024 21:54,Backhoe_Loader_1,Misc,Air Filter Pressure,25,Medium,Medium
12,08-06-2024 14:35,Asphalt_Paver_1,Misc,Air Filter Pressure,34,Medium,Medium
12,30-06-2024 15:55,Dozer_1,Misc,Air Filter Pressure,28,Medium,Medium
12,05-05-2024 21:50,Backhoe_Loader_1,Drive,Pedal Sensor,4.482284399,Medium,Low
12,14-05-2024 09:28,Excavator_1,Drive,Pedal Sensor,4.54230551,Medium,Low
12,23-06-2024 00:10,Articulated_Truck_1,Drive,Pedal Sensor,3.7,Medium,Low
12,22-06-2024 21:04,Dozer_1,Drive,Pedal Sensor,4.690052669,Medium,Low
12,06-05-2024 08:31,Asphalt_Paver_1,Drive,Pedal Sensor,4.77,High,Low
12,16-05-2024 12:24,Dozer_1,Fuel,Pressure,40,Medium,Low
12,12-05-2024 21:22,Excavator_1,Fuel,Pressure,35,Low,Low
12,11-06-2024 11:11,Asphalt_Paver_1,Fuel,Pressure,42,Medium,Low
12,29-06-2024 13:37,Articulated_Truck_1,Fuel,Pressure,56,Medium,Low
12,10-05-2024 04:48,Backhoe_Loader_1,Fuel,Pressure,49,Medium,Low
12,06-06-2024 09:36,Excavator_1,Engine,Speed,1644,Medium,Medium
12,28-06-2024 17:11,Backhoe_Loader_1,Engine,Speed,1720,Medium,Medium
12,11-05-2024 11:42,Asphalt_Paver_1,Engine,Speed,1424,Medium,Medium
12,18-05-2024 20:55,Dozer_1,Engine,Speed,1529,Medium,Medium
12,13-06-2024 09:02,Articulated_Truck_1,Engine,Speed,1345,Medium,Medium
13,10-06-2024 06:17,Dozer_1,Misc,System Voltage,14.71944435,Medium,High
13,03-06-2024 05:52,Asphalt_Paver_1,Misc,System Voltage,13.01,Medium,High
13,09-06-2024 06:04,Excavator_1,Misc,System Voltage,12.28242958,Medium,High
13,28-05-2024 06:14,Articulated_Truck_1,Misc,System Voltage,14.1,Medium,High
13,28-06-2024 19:01,Backhoe_Loader_1,Misc,System Voltage,15.82313627,High,High
13,10-06-2024 15:00,Backhoe_Loader_1,Engine,Temparature,79,Medium,High
13,21-06-2024 05:48,Dozer_1,Engine,Temparature,89,Medium,High
13,15-05-2024 05:11,Asphalt_Paver_1,Engine,Temparature,87,Medium,High
13,15-05-2024 22:24,Articulated_Truck_1,Engine,Temparature,90,Medium,High
13,24-05-2024 18:41,Excavator_1,Engine,Temparature,75,Medium,High
13,05-06-2024 07:06,Dozer_1,Drive,Transmission Pressure,223,Medium,Medium
13,07-06-2024 03:24,Backhoe_Loader_1,Drive,Transmission Pressure,286,Medium,Medium
13,11-05-2024 03:11,Excavator_1,Drive,Transmission Pressure,403,Medium,Medium
13,10-06-2024 17:48,Asphalt_Paver_1,Drive,Transmission Pressure,383,Medium,Medium
13,12-06-2024 22:26,Articulated_Truck_1,Drive,Transmission Pressure,300,Medium,Medium
13,16-06-2024 09:20,Backhoe_Loader_1,Fuel,Water in Fuel,387,Medium,High
13,24-05-2024 00:58,Articulated_Truck_1,Fuel,Water in Fuel,78,Medium,High
13,04-06-2024 18:32,Dozer_1,Fuel,Water in Fuel,231,Medium,High
13,17-06-2024 15:59,Excavator_1,Fuel,Water in Fuel,544,Medium,High
13,13-06-2024 19:58,Asphalt_Paver_1,Fuel,Water in Fuel,776,Medium,High
14,30-06-2024 20:17,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,195,Medium,High
14,19-06-2024 23:44,Dozer_1,Misc,Exhaust Gas Temparature,344,Medium,High
14,09-05-2024 12:01,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,364,Medium,High
14,06-05-2024 13:30,Excavator_1,Misc,Exhaust Gas Temparature,306,Medium,High
14,21-05-2024 20:03,Articulated_Truck_1,Misc,Exhaust Gas Temparature,265,Medium,High
14,28-05-2024 05:42,Dozer_1,Fuel,Level,6,Medium,Low
14,03-06-2024 18:24,Asphalt_Paver_1,Fuel,Level,4,Medium,Low
14,10-05-2024 02:55,Excavator_1,Fuel,Level,4,Medium,Low
14,20-06-2024 09:17,Articulated_Truck_1,Fuel,Level,9,Medium,Low
14,12-05-2024 15:06,Backhoe_Loader_1,Fuel,Level,6,Medium,Low
14,17-06-2024 00:42,Asphalt_Paver_1,Engine,Oil Pressure,49,Medium,High
14,27-05-2024 17:18,Articulated_Truck_1,Engine,Oil Pressure,44,Medium,High
14,21-05-2024 20:21,Backhoe_Loader_1,Engine,Oil Pressure,45,Medium,High
14,30-05-2024 21:15,Excavator_1,Engine,Oil Pressure,37,Medium,High
14,29-05-2024 13:59,Dozer_1,Engine,Oil Pressure,50,Medium,High
14,16-06-2024 00:37,Articulated_Truck_1,Drive,Pedal Sensor,4.4,Medium,Low
14,06-05-2024 18:34,Backhoe_Loader_1,Drive,Pedal Sensor,3.536676058,Medium,Low
14,12-05-2024 20:40,Dozer_1,Drive,Pedal Sensor,4.432169639,Medium,Low
14,09-06-2024 19:43,Excavator_1,Drive,Pedal Sensor,4.88319137,High,Low
14,07-06-2024 20:12,Asphalt_Paver_1,Drive,Pedal Sensor,3.79,Medium,Low
15,11-05-2024 11:58,Excavator_1,Misc,Hydraulic Pump Rate,77,Medium,Medium
15,06-05-2024 15:35,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,88,Medium,Medium
15,30-06-2024 13:37,Articulated_Truck_1,Misc,Hydraulic Pump Rate,120,Medium,Medium
15,12-05-2024 03:24,Dozer_1,Misc,Hydraulic Pump Rate,111,Medium,Medium
15,23-06-2024 12:01,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,85,Medium,Medium
15,01-05-2024 13:12,Excavator_1,Engine,Temparature,95,Medium,High
15,13-05-2024 07:50,Dozer_1,Engine,Temparature,95,Medium,High
15,14-06-2024 16:03,Articulated_Truck_1,Engine,Temparature,100,Medium,High
15,05-05-2024 00:55,Asphalt_Paver_1,Engine,Temparature,78,Medium,High
15,28-06-2024 11:29,Backhoe_Loader_1,Engine,Temparature,93,Medium,High
15,29-06-2024 01:08,Articulated_Truck_1,Drive,Transmission Pressure,337,Medium,Medium
15,25-06-2024 12:17,Asphalt_Paver_1,Drive,Transmission Pressure,306,Medium,Medium
15,23-05-2024 21:06,Excavator_1,Drive,Transmission Pressure,381,Medium,Medium
15,13-06-2024 06:03,Dozer_1,Drive,Transmission Pressure,253,Medium,Medium
15,30-06-2024 15:28,Backhoe_Loader_1,Drive,Transmission Pressure,272,Medium,Medium
15,23-06-2024 08:05,Backhoe_Loader_1,Fuel,Temparature,363,Medium,High
15,30-05-2024 23:01,Excavator_1,Fuel,Temparature,318,Medium,High
15,27-06-2024 01:47,Dozer_1,Fuel,Temparature,326,Medium,High
15,26-06-2024 04:23,Asphalt_Paver_1,Fuel,Temparature,291,Medium,High
15,23-05-2024 04:38,Articulated_Truck_1,Fuel,Temparature,0,Medium,High
16,10-05-2024 14:45,Backhoe_Loader_1,Misc,Air Filter Pressure,27,Medium,Medium
16,23-05-2024 15:44,Excavator_1,Misc,Air Filter Pressure,23,Medium,Medium
16,19-05-2024 20:12,Asphalt_Paver_1,Misc,Air Filter Pressure,27,Medium,Medium
16,17-05-2024 20:48,Dozer_1,Misc,Air Filter Pressure,31,Medium,Medium
16,21-05-2024 01:03,Articulated_Truck_1,Misc,Air Filter Pressure,27,Medium,Medium
16,02-06-2024 17:40,Dozer_1,Drive,Pedal Sensor,3.164963607,Medium,Low
16,09-05-2024 14:21,Articulated_Truck_1,Drive,Pedal Sensor,3.6,Medium,Low
16,25-05-2024 11:57,Asphalt_Paver_1,Drive,Pedal Sensor,3.73,Medium,Low
16,21-06-2024 03:11,Excavator_1,Drive,Pedal Sensor,3.68591812,Medium,Low
16,16-06-2024 12:45,Backhoe_Loader_1,Drive,Pedal Sensor,4.881094041,High,Low
16,31-05-2024 00:07,Asphalt_Paver_1,Fuel,Pressure,56,Medium,Low
16,02-05-2024 17:24,Dozer_1,Fuel,Pressure,48,Medium,Low
16,18-06-2024 10:52,Articulated_Truck_1,Fuel,Pressure,67,High,Low
16,22-05-2024 07:50,Backhoe_Loader_1,Fuel,Pressure,57,Medium,Low
16,19-05-2024 21:20,Excavator_1,Fuel,Pressure,50,Medium,Low
16,22-06-2024 02:38,Backhoe_Loader_1,Engine,Speed,1744,Medium,Medium
